Participant,Paragraph,Gazes,AOIGazes,OffScreenGazesPix,OffScreenGazesProp,cluster_num_clusters,cluster_avg_duration,cluster_sd_duration,cluster_skew_duration,dispersion
5af835d8e19f8c00019e6dc0,39,532,0,413,433,54,0.052116666668431,0.0183305163638488,3.646746363568178,0.3947932887342273
5af835d8e19f8c00019e6dc0,40,733,4,367,419,81,0.0510506172825534,0.0092656236089724,0.0316765717150562,0.3659608265865495
5b07b71c68eff50001d1c859,1,262,93,47,53,14,0.0805714285714202,0.0356666495498308,2.9754768918852794,0.35541922862252
5b07b71c68eff50001d1c859,2,369,63,151,178,26,0.0753076923076845,0.0244749165159238,-0.4981642878187008,0.3195142982496708
5b07b71c68eff50001d1c859,3,157,1,138,143,9,0.0810000000000036,0.019602295783911,1.5338326802491202,0.5324479640193842
5b07b71c68eff50001d1c859,4,293,0,274,276,20,0.0882500000000047,0.0433745923687652,3.80174521175434,0.5448309962692035
5b07b71c68eff50001d1c859,5,58,5,44,45,5,0.0667999999999773,0.0054037024344245,0.8004405346418697,0.5966916817927612
5b07b71c68eff50001d1c859,6,275,124,30,50,10,0.0817000000000056,0.037926976620278,-0.7226107986780405,0.4574210206531262
5b07b71c68eff50001d1c859,7,216,13,165,165,21,0.0784761904761949,0.0180044967927981,-1.009520790093969,0.2948718639967791
5b07b71c68eff50001d1c859,8,62,1,49,50,4,0.0577499999999806,0.0269861075370157,-1.1221015631277806,0.6046746172731295
5b07b71c68eff50001d1c859,9,246,7,191,193,14,0.0709285714285781,0.03921040734239,0.1344062286118313,0.4708356638219985
5b07b71c68eff50001d1c859,10,92,3,69,69,4,0.0692500000000363,0.0078898669190403,1.0653693625199503,0.7014123122583754
5b07b71c68eff50001d1c859,11,216,32,85,112,18,0.093999999999991,0.0397802788858453,2.875285417578177,0.459149084484088
5b07b71c68eff50001d1c859,12,134,24,22,30,14,0.0695714285714191,0.0128045321646928,1.5860880366715993,0.4645944667914048
5b07b71c68eff50001d1c859,13,420,166,109,138,29,0.0825517241379374,0.0291125724030355,0.5733075007404033,0.2548674306898938
5b07b71c68eff50001d1c859,14,132,75,11,23,10,0.063800000000022,0.0342370819109755,-1.62689093214842,0.4893625539919697
5b07b71c68eff50001d1c859,15,126,52,10,19,10,0.0818000000000033,0.013886844293933,0.7851752774828308,0.429430530588139
5b07b71c68eff50001d1c859,16,64,4,51,52,6,0.1025000000000255,0.0662382064974883,2.393598810887936,0.385676300558784
5b07b71c68eff50001d1c859,17,31,4,21,21,2,0.0275000000000068,0.0388908729652698,,1.0
5b07b71c68eff50001d1c859,18,187,22,55,66,14,0.0815000000000059,0.0427816459567749,1.4217062825660496,0.5623487523950044
5b07b71c68eff50001d1c859,19,85,28,3,6,6,0.0721666666666731,0.0139343699773459,1.1903749140047024,0.7285115199033017
5b07b71c68eff50001d1c859,20,287,168,6,40,21,0.0819523809523669,0.0298772090237272,-0.3254779093317039,0.478880421502564
5b07b71c68eff50001d1c859,21,244,2,187,190,18,0.0705555555555577,0.0212304504460935,-1.7979972037672218,0.5019707036021022
5b07b71c68eff50001d1c859,22,296,5,236,236,17,0.0763529411764679,0.0158782129680567,1.5421638397792978,0.5560830776802754
5b07b71c68eff50001d1c859,23,38,0,18,22,5,0.0492000000000189,0.0470712226312565,-0.1801397235153109,0.60955451268581
5b07b71c68eff50001d1c859,24,223,25,74,132,13,0.0802307692307699,0.0204252859880193,1.6504721423188484,0.5556622942100647
5b07b71c68eff50001d1c859,25,157,69,20,39,9,0.0962222222222654,0.043665712457784,2.566869355101885,0.3571655161477332
5b07b71c68eff50001d1c859,26,274,49,161,187,18,0.0787777777777817,0.0130318864850552,1.626149147822187,0.5068888535734162
5b07b71c68eff50001d1c859,27,94,1,66,77,10,0.0771000000000051,0.0141848902396757,0.3838318861666026,0.6323774178818046
5b07b71c68eff50001d1c859,28,151,53,11,23,12,0.07216666666668,0.0301958255192406,-1.075087656516976,0.467820374951948
5b07b71c68eff50001d1c859,29,238,53,64,113,18,0.0792777777777693,0.0163771920151477,1.5823800290334935,0.3057748544527515
5b07b71c68eff50001d1c859,30,242,44,58,93,12,0.0841666666666807,0.0398812631634739,3.200335960730655,0.5261631388179616
5b07b71c68eff50001d1c859,31,193,22,122,130,14,0.0786428571428245,0.0233455880953254,1.9726582361394096,0.4630174480582101
5b07b71c68eff50001d1c859,32,177,68,13,22,13,0.0820000000000168,0.0225979350089009,1.07945766342594,0.3889028057715386
5b07b71c68eff50001d1c859,33,110,29,6,6,6,0.0690000000000205,0.052805302764024,0.2393727788084113,0.7221126667279749
5b07b71c68eff50001d1c859,34,258,135,20,28,15,0.0746666666666558,0.0145732958653838,1.5158770396713546,0.4167277707371329
5b07b71c68eff50001d1c859,35,244,41,93,99,16,0.0821874999999886,0.0282753573511241,1.0469861970119072,0.515912431474963
5b07b71c68eff50001d1c859,36,170,27,58,79,21,0.0780952380952432,0.0169466951406749,0.9372378365987968,0.5023347654442796
5b07b71c68eff50001d1c859,37,348,118,133,182,20,0.0937000000000055,0.0476534640039952,2.0422497919922997,0.4557047956480024
5b07b71c68eff50001d1c859,38,355,25,233,235,31,0.0847419354838661,0.0398053327599424,1.797485811957516,0.3316728812855667
5b07b71c68eff50001d1c859,39,46,9,7,14,3,0.0310000000000024,0.0337786915081129,0.6515057395944168,0.7435648052011773
5b07b71c68eff50001d1c859,40,254,101,53,68,16,0.0823124999999991,0.0194515423553129,0.7710194504845403,0.6086768745354652
5bd7971b0aac450001f951aa,1,621,187,32,74,38,0.0807973684273393,0.0154768438508764,-3.901374819416599,0.4716124555585848
5bd7971b0aac450001f951aa,2,611,189,120,203,59,0.0834966101581747,0.0147407944871961,4.058349578697935,0.3363728804964848
5bd7971b0aac450001f951aa,3,361,73,122,204,32,0.0799375000000081,0.023309485123719,-2.455876030366626,0.3707573279324638
5bd7971b0aac450001f951aa,4,528,85,222,333,42,0.0811000000204475,0.006040230989417,0.4948266784429019,0.3266259695979382
5bd7971b0aac450001f951aa,5,112,13,55,60,9,0.0756111111323059,0.030300430871201,-2.227566978372416,0.519596249232866
5bd7971b0aac450001f951aa,6,322,114,21,54,38,0.079773684200487,0.0074391471504641,0.3377298761981026,0.3328758726363083
5bd7971b0aac450001f951aa,7,309,73,40,61,34,0.0797558823206864,0.022064206455206,0.7233400036947671,0.3058065866044857
5bd7971b0aac450001f951aa,8,116,5,17,31,10,0.0718000000000144,0.0261287410871362,-2.760215561891729,0.4166453169277423
5bd7971b0aac450001f951aa,9,327,41,60,89,35,0.0838114285755192,0.0269488379366059,1.1053172098251494,0.2478746336117999
5bd7971b0aac450001f951aa,10,138,20,12,37,16,0.0798812499702036,0.0261883490411183,1.5234376285431588,0.3892128476586462
5bd7971b0aac450001f951aa,11,274,16,97,114,28,0.0789464285424766,0.0086531724802227,-0.4299052343432132,0.3471138763026763
5bd7971b0aac450001f951aa,12,295,9,127,150,22,0.0829545454393846,0.0343636120792821,2.032037002403132,0.4019405667554327
5bd7971b0aac450001f951aa,13,800,46,350,459,61,0.0801803278954267,0.0135504098212814,-3.0979260462228693,0.3482669030572552
5bd7971b0aac450001f951aa,14,227,6,79,101,23,0.0806913043478252,0.0134539251890925,-2.6621541411849323,0.3852985846128628
5bd7971b0aac450001f951aa,15,225,2,96,147,20,0.0756599999976401,0.0152257538086421,-2.6871600692132422,0.4130765285584229
5bd7971b0aac450001f951aa,16,102,7,34,42,10,0.0830900000143303,0.0067950063324915,0.4361272979701241,0.3621086104396139
5bd7971b0aac450001f951aa,17,94,11,3,12,8,0.0714249999999904,0.0300123189001131,-2.4074172514545213,0.5133636908433096
5bd7971b0aac450001f951aa,18,165,25,26,36,18,0.0819500000000032,0.0068539598004526,1.8904330661276707,0.5330964745857694
5bd7971b0aac450001f951aa,19,127,27,9,24,8,0.0691875000297983,0.0287287530299533,-2.538996613484921,0.3867300597666907
5bd7971b0aac450001f951aa,20,480,248,48,91,39,0.0809358974309977,0.0121329583278237,-2.59885618242218,0.3631076607888258
5bd7971b0aac450001f951aa,21,455,115,105,134,31,0.0811419355223232,0.0071232377612772,-0.2988224506233861,0.3064767510732462
5bd7971b0aac450001f951aa,22,554,143,36,91,42,0.0811595238038554,0.0261045464657928,3.110284757197126,0.4034253099901962
5bd7971b0aac450001f951aa,23,44,5,4,6,3,0.0490333333015466,0.0425883004004068,-1.6867711928113334,0.959749646160173
5bd7971b0aac450001f951aa,24,393,99,83,136,41,0.0828097560824285,0.0198187260399297,2.4277676165317663,0.3856815734900079
5bd7971b0aac450001f951aa,25,288,28,114,165,25,0.0779159999981148,0.0214435048430069,-0.9928100499776376,0.3724641812770372
5bd7971b0aac450001f951aa,26,369,70,136,188,34,0.0809411764761848,0.0192319670343707,-1.250064408648645,0.4508835885621098
5bd7971b0aac450001f951aa,27,190,17,83,109,17,0.0774411764817874,0.0213472790691389,-3.290119975205196,0.3426804586149865
5bd7971b0aac450001f951aa,28,279,25,129,180,27,0.0893851852134551,0.0313272148006234,3.3333474739713025,0.452866741361915
5bd7971b0aac450001f951aa,29,565,32,292,373,54,0.0778407407592894,0.0176737255091872,-3.039090480936955,0.3323533996923747
5bd7971b0aac450001f951aa,30,546,24,414,478,53,0.0813943396127482,0.0101929352318947,2.1606703897806527,0.3632993075168724
5bd7971b0aac450001f951aa,31,357,35,190,238,39,0.0842333333369892,0.0227046868874743,5.543793351616987,0.2933263310943146
5bd7971b0aac450001f951aa,32,322,52,94,126,34,0.0817823529467824,0.0155377637854204,-0.7486930002259207,0.3727990521885855
5bd7971b0aac450001f951aa,33,181,16,26,47,20,0.0752300000071572,0.0187012271025928,-3.735372558730077,0.4297110239930714
5bd7971b0aac450001f951aa,34,364,49,117,147,38,0.0827710526466544,0.0205205092902027,2.228068163031081,0.4077890643938985
