Participant,Probe,TUT,Disengage,Awareness,FMT
6321da5de806efad3e53163f,7,0,1,7,7
559cb12dfdf99b4989fb18ed,1,0,7,7,7
559cb12dfdf99b4989fb18ed,2,0,7,7,7
559cb12dfdf99b4989fb18ed,3,0,7,7,7
559cb12dfdf99b4989fb18ed,4,0,7,7,7
559cb12dfdf99b4989fb18ed,5,0,7,7,7
559cb12dfdf99b4989fb18ed,6,0,7,7,7
559cb12dfdf99b4989fb18ed,7,0,7,7,7
559e6830fdf99b4f0b98514a,1,0,1,7,1
559e6830fdf99b4f0b98514a,2,0,1,7,1
559e6830fdf99b4f0b98514a,3,0,1,7,1
559e6830fdf99b4f0b98514a,4,0,1,7,1
559e6830fdf99b4f0b98514a,5,0,1,7,1
559e6830fdf99b4f0b98514a,6,0,1,7,1
559e6830fdf99b4f0b98514a,7,0,1,7,1
55a47692fdf99b126e625257,1,0,1,4,3
55a47692fdf99b126e625257,2,0,1,4,2
55a47692fdf99b126e625257,3,0,1,1,1
55a47692fdf99b126e625257,4,0,1,1,1
55a47692fdf99b126e625257,5,0,1,1,1
55a47692fdf99b126e625257,6,0,1,1,1
55a47692fdf99b126e625257,7,0,1,1,1
561bbdf9811d22000df3138a,1,0,3,7,3
561bbdf9811d22000df3138a,2,0,4,7,5
561bbdf9811d22000df3138a,3,0,3,7,2
561bbdf9811d22000df3138a,4,0,3,7,4
561bbdf9811d22000df3138a,5,0,6,7,2
561bbdf9811d22000df3138a,6,0,5,7,2
561bbdf9811d22000df3138a,7,1,3,7,3
56210effed6e5a000ac7f3a5,1,0,7,2,5
56210effed6e5a000ac7f3a5,2,0,4,5,6
56210effed6e5a000ac7f3a5,3,0,6,2,4
56210effed6e5a000ac7f3a5,4,0,4,5,6
56210effed6e5a000ac7f3a5,5,0,5,3,4
56210effed6e5a000ac7f3a5,6,0,5,3,4
56210effed6e5a000ac7f3a5,7,0,4,6,3
565bff58c121fe0005fc390d,1,0,4,7,7
565bff58c121fe0005fc390d,2,1,1,3,4
565bff58c121fe0005fc390d,3,1,7,7,7
565bff58c121fe0005fc390d,4,0,5,7,7
565bff58c121fe0005fc390d,5,0,7,7,7
565bff58c121fe0005fc390d,6,1,3,2,5
565bff58c121fe0005fc390d,7,0,7,7,7
5680253fc5767f00121cc5e2,1,0,4,5,4
5680253fc5767f00121cc5e2,2,0,3,6,3
5680253fc5767f00121cc5e2,3,1,6,3,6
5680253fc5767f00121cc5e2,4,0,3,5,3
5680253fc5767f00121cc5e2,5,0,3,6,3
5680253fc5767f00121cc5e2,6,0,3,6,3
5680253fc5767f00121cc5e2,7,0,4,5,4
5685850c333cbd000d4e042f,1,1,3,5,2
5685850c333cbd000d4e042f,2,1,2,4,3
5685850c333cbd000d4e042f,3,1,5,5,5
5685850c333cbd000d4e042f,4,0,1,2,1
5685850c333cbd000d4e042f,5,1,4,4,3
5685850c333cbd000d4e042f,6,1,4,6,4
5685850c333cbd000d4e042f,7,1,7,3,5
569298838d93fe000dfa033c,1,0,1,7,7
569298838d93fe000dfa033c,2,0,1,7,7
569298838d93fe000dfa033c,3,0,1,7,7
569298838d93fe000dfa033c,4,1,1,7,7
569298838d93fe000dfa033c,5,0,1,7,7
569298838d93fe000dfa033c,6,0,1,7,7
569298838d93fe000dfa033c,7,0,1,7,7
5692e00c8d93fe000efa0459,1,1,2,6,5
5692e00c8d93fe000efa0459,2,0,1,6,2
5692e00c8d93fe000efa0459,3,0,2,5,4
5692e00c8d93fe000efa0459,4,1,3,6,6
5692e00c8d93fe000efa0459,5,0,2,6,6
5692e00c8d93fe000efa0459,6,0,2,5,6
5692e00c8d93fe000efa0459,7,0,2,4,6
5694e7b5e0c800000b5a3841,1,0,1,7,7
5694e7b5e0c800000b5a3841,2,0,1,7,2
5694e7b5e0c800000b5a3841,3,0,4,7,3
5694e7b5e0c800000b5a3841,4,0,2,7,3
5694e7b5e0c800000b5a3841,5,0,2,6,3
5694e7b5e0c800000b5a3841,6,0,3,7,3
5694e7b5e0c800000b5a3841,7,0,2,6,4
56bd7bf3d4e2180005a86846,1,0,3,4,1
56bd7bf3d4e2180005a86846,2,0,3,3,1
56bd7bf3d4e2180005a86846,3,0,2,3,1
56bd7bf3d4e2180005a86846,4,0,1,2,1
56bd7bf3d4e2180005a86846,5,0,1,1,1
56bd7bf3d4e2180005a86846,6,0,1,2,1
56bd7bf3d4e2180005a86846,7,0,1,1,1
56cc78e3ccc0e20006b82a7d,1,0,1,7,7
56cc78e3ccc0e20006b82a7d,2,0,1,7,6
56cc78e3ccc0e20006b82a7d,3,0,1,7,7
56cc78e3ccc0e20006b82a7d,4,0,1,5,7
56cc78e3ccc0e20006b82a7d,5,0,1,7,7
56cc78e3ccc0e20006b82a7d,6,0,1,7,7
56cc78e3ccc0e20006b82a7d,7,0,1,6,6
56e130548b1c33000a388671,1,0,3,7,1
56e130548b1c33000a388671,2,1,3,7,5
56e130548b1c33000a388671,3,0,1,7,1
56e130548b1c33000a388671,4,1,5,5,7
56e130548b1c33000a388671,5,0,1,7,1
56e130548b1c33000a388671,6,0,1,7,1
56e130548b1c33000a388671,7,1,4,7,7
56fa002e8425ef000b3a4276,1,0,1,1,5
56fa002e8425ef000b3a4276,2,0,2,1,1
56fa002e8425ef000b3a4276,3,0,1,1,1
56fa002e8425ef000b3a4276,4,0,1,1,1
56fa002e8425ef000b3a4276,5,0,1,1,1
56fa002e8425ef000b3a4276,6,0,1,1,1
56fa002e8425ef000b3a4276,7,0,1,1,1
570521cfde5095001018a0c8,1,1,3,3,5
